Player,Position,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
RJ Barrett,Shooting Guard,41,34.6,20.1,7,16.4,43.1,1.8,5.5,32.6,4.2,5.6,75.9,5.4,2.9,0.5,0.1,2.4,2,0
Jrue Holiday,Point Guard,35,32.7,19.6,7.3,15.8,46.6,2.4,6.3,38.4,2.5,2.9,87.3,4.9,7.5,1.4,0.4,3.2,11,0
Kevin Porter Jr.,Shooting Guard,40,34,19.2,6.7,15.4,43.7,2.2,6.4,34.6,3.5,4.6,76.6,5.5,5.6,1.3,0.4,3.6,6,0
Fred VanVleet,Shooting Guard,38,36.8,18.9,6.1,15.7,38.7,2.9,8.6,34,3.8,4.3,89.5,4.3,6.4,1.5,0.6,1.7,3,0
Domantas Sabonis,Power Forward,43,34.4,18.8,6.9,11.3,61.1,0.4,1.2,36.5,4.5,5.9,75.3,12.6,7.3,0.7,0.5,2.7,35,5
Jamal Murray,Point Guard,39,31.9,18.7,6.8,15.1,44.9,2.2,5.6,39.2,3,3.6,82.9,4.1,5.6,0.9,0.2,2.1,3,1
Gary Trent Jr.,Shooting Guard,40,32.9,18.6,6.4,14.5,44,2.6,7.1,35.9,3.3,3.9,82.8,2.4,1.5,1.8,0.3,1,0,0
Christian Wood,Forward,42,29,18.4,6.7,12.5,53.5,1.8,4.6,38.5,3.1,4.3,73.7,8.4,1.7,0.5,1.3,2.1,10,0
Buddy Hield,Shooting Guard,48,31.7,17.5,6.2,13.9,44.8,3.8,8.9,42.2,1.3,1.5,87.5,4.9,2.7,1,0.3,1.9,2,0
Deandre Ayton,Center,40,29.7,17.5,7.7,13.2,58.3,0.2,0.6,31.8,2,2.8,71.2,9.9,2.1,0.5,0.7,2.1,22,0
Nikola Vucevic,Center,45,33.7,17.5,7,13.5,52.1,1.7,4.6,37.4,1.7,2,83.3,11,3.2,0.7,0.9,1.8,26,1
O.G. Anunoby,Small Forward,43,36.5,17.4,6.5,14.1,45.9,1.9,5.3,36.4,2.5,3.1,82.6,5.7,2,2.1,0.8,2.3,2,0
Bennedict Mathurin,Shooting Guard,48,28.3,17.3,5.4,12.8,42.1,1.5,4.5,32.7,5.1,6.2,82.2,4,1.4,0.6,0.1,1.9,0,0
D'Angelo Russell,Point Guard,45,32.5,17.3,6,12.9,46.5,2.4,6.4,37.8,2.9,3.3,87.2,2.9,6.2,1.1,0.4,2.7,5,0
Myles Turner,Center,39,29.7,17,6.1,11.1,55.1,1.5,3.8,39.6,3.3,4.3,77.2,7.8,1.4,0.6,2.4,1.7,12,0
Aaron Gordon,Power Forward,41,29.9,16.8,6.4,10.7,59.3,1,2.5,37.9,3.1,4.8,63.6,6.7,2.6,0.8,0.8,1.7,7,0
Spencer Dinwiddie,Point Guard,46,33.8,16.7,5.7,12.3,46.3,2.6,6.4,40.1,2.7,3.3,82.9,3,5.2,0.8,0.3,1.6,1,0
Norman Powell,Small Forward,38,25.5,16.3,5.5,11.3,48.3,1.9,4.6,42.3,3.4,4.4,77.7,2.9,1.7,0.8,0.4,1.7,0,0
Tobias Harris,Power Forward,42,33.8,16.3,6.5,12.9,50,1.9,5,37.4,1.5,1.8,85.1,6.2,2.7,1.1,0.6,1.4,5,0
Mikal Bridges,Small Forward,47,36.3,16.2,6,12.9,46.1,1.8,4.5,39.5,2.5,2.8,88.6,4.5,3.5,1.2,0.9,1.4,1,0
Dillon Brooks,Small Forward,41,30.5,16.1,6.1,15.2,39.8,2,6,32.7,2,2.6,78.3,3.5,2.6,0.8,0.2,1.7,0,0
Russell Westbrook,Point Guard,43,28.8,16.1,6,14,42.7,1.2,4,29.9,3,4.5,66.7,6.5,7.7,1,0.5,3.5,15,4
Josh Giddey,Shooting Guard,41,31,16,6.9,14.1,48.4,1,3.2,33.1,1.2,1.5,81,8,5.8,0.6,0.5,3,18,2
De'Andre Hunter,Small Forward,39,31.8,15.8,5.7,12.2,46.3,1.6,4.4,37.6,2.8,3.4,82.8,4.3,1.3,0.4,0.2,1.3,1,0
Kevin Huerter,Shooting Guard,42,31.2,15.8,5.7,11.8,48.5,2.9,7,41.4,1.5,2,72.1,3.3,3,1.1,0.3,1.5,0,0
